movieId,title,genres,imdbId,tmdbId,url,img_url
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,https://www.themoviedb.org/movie/862.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0,https://www.themoviedb.org/movie/8844.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/6aGn2X51bahFoOI8wE1h2VGTgcH.jpg
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0,https://www.themoviedb.org/movie/15602.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357.0,https://www.themoviedb.org/movie/31357.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/4uw6HKq4vlhrSVp0zkgd4zCy4Pf.jpg
5,Father of the Bride Part II (1995),Comedy,113041,11862.0,https://www.themoviedb.org/movie/11862.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg
6,Heat (1995),Action|Crime|Thriller,113277,949.0,https://www.themoviedb.org/movie/949.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/umSVjVdbVwtx5ryCA2QXL44Durm.jpg
7,Sabrina (1995),Comedy|Romance,114319,11860.0,https://www.themoviedb.org/movie/11860.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg
8,Tom and Huck (1995),Adventure|Children,112302,45325.0,https://www.themoviedb.org/movie/45325.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg
9,Sudden Death (1995),Action,114576,9091.0,https://www.themoviedb.org/movie/9091.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710.0,https://www.themoviedb.org/movie/710.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/bFzjdy6ucvNlXmJwoSoYfufV6lP.jpg
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087.0,https://www.themoviedb.org/movie/9087.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110.0,https://www.themoviedb.org/movie/12110.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg
13,Balto (1995),Adventure|Animation|Children,112453,21032.0,https://www.themoviedb.org/movie/21032.0,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg
